text,user,ts
"Re:GitHubはリモート（インターネット上にあるもの）を、
手元にコピーすることをここで連携といってますねー",Tetsuya Shibao,2025-10-12 21:50:12.083649
Re:Git Pushは、ローカル（手元の）変更をGitHubに反映する作業のことですー,Tetsuya Shibao,2025-10-12 21:50:37.118379
Re:家の事終わってなく、耳だけ参加します。。,shinnya tsurumaru,2025-10-12 21:51:18.619839
Re:私もGitHubが難しいです。,寺脇 千登勢,2025-10-12 21:51:23.176269
"Re:ﾍｲｼｬｱのチュートリアルが掴みやすいかも ？
<https://backlog.com/ja/git-tutorial/intro/09/>",Tetsuya Shibao,2025-10-12 21:52:24.167969
Re:```git add .```,古川格(運営),2025-10-12 21:52:49.398089
Re:GitHubはインターネット上に保存する先の選択肢の一つですねん,Tetsuya Shibao,2025-10-12 21:53:11.993309
Re:git commit -m hoge,古川格(運営),2025-10-12 21:53:15.046359
Re:リポジトリのクローンはなんとかできました。venvが出てないのですが。,寺脇 千登勢,2025-10-12 21:53:28.998719
Re:```git push origin main```,古川格(運営),2025-10-12 21:55:54.539219
Re:,寺脇 千登勢,2025-10-12 21:58:05.364179
Re:`git branch`,Tetsuya Shibao,2025-10-12 21:59:24.623089
Re:`git status`,Tetsuya Shibao,2025-10-12 21:59:32.017639
Re:,寺脇 千登勢,2025-10-12 22:00:09.519149
Re:`git remote -v`,Tetsuya Shibao,2025-10-12 22:01:47.733299
Re:`git config`,Tetsuya Shibao,2025-10-12 22:01:53.302089
Re:`git checkout -b main`,Tetsuya Shibao,2025-10-12 22:03:59.525839
Re:git config --global user.name,武松　道生,2025-10-12 22:06:42.519119
Re:```git config --list```,Tetsuya Shibao,2025-10-12 22:06:42.848599
"Re:chatgpt 先生のアドバイスをそのまま流します。
Q:powershellとgitbashの使い分けは？

すごくいい問いです:herb:
 これは、Windows で開発する人が最初につまずきやすいポイントでもあります。
 簡単にいえば──
&gt; :small_blue_diamond: *PowerShell* は Windows 全体を操作する強力なシェル。
&gt;  :small_blue_diamond: *Git Bash* は Linux / macOS に近い「開発者向けの軽量シェル」。
どちらも Git コマンドを使えますが、*目的によって使い分ける*のが賢いやり方です。
 順に整理してみましょう。

:compass: まず大枠の違い
   比較項目 PowerShell Git Bash     ベース技術 Windows PowerShell（.NET） MinGW（Linux互換環境）   コマンド体系 Windows（`dir`, `copy`, `Get-ChildItem`） UNIX系（`ls`, `cp`, `grep`）   シェルの目的 OS管理・自動化 開発作業（Git・Python・Dockerなど）   エイリアス `ls` など一部 UNIX 風に見えるが中身は違う ほぼ UNIX 同等   環境変数・PATH Windowsの仕様 Bash（Linux風）仕様   スクリプト拡張子 `.ps1` `.sh`   標準での利用想定 システム管理者 開発者（Gitユーザー）
:computer: どちらを使うべきか（ケース別）
   用途 おすすめ     WindowsアプリやOS設定操作（例：サービス制御、レジストリ編集） :large_blue_square: PowerShell   Git操作（commit / push / branchなど） :large_green_square: Git Bash   Python / Django / Docker / Linuxサーバーと似た環境で開発 :large_green_square: Git Bash   Windows専用コマンド（`tasklist`, `Get-Process`など）を使う :large_blue_square: PowerShell   VSCodeのターミナルで統一したい :scales: どちらでもOK（Bash派が多い）
:gear: 実際の開発シーンでのおすすめ運用
あなたのように *Python + Django + Docker* を扱う開発者なら、基本は次のように使い分けるのが自然です:point_down:
   シーン 推奨シェル 理由     Git操作・ブランチ管理 *Git Bash* UNIXと同じコマンド体系で、ドキュメント例もそのまま使える   Pythonやvenvの実行 *Git Bash*（または WSL） 環境変数やパスの扱いが安定   Docker操作 *Git Bash* シェルスクリプトとの相性が良い   Windows特有の操作（サービス確認など） *PowerShell* OS統合コマンドが豊富   自動化スクリプト・管理者権限の処理 *PowerShell* セキュリティや権限の扱いが安全
:arrows_counterclockwise: 両方を併用する例
たとえばあなたの開発フォルダ構成が：
```C:\Users\knigh\Documents\project\```
のとき、
 *PowerShell*
 cd C:\Users\knigh\Documents\project
 git status
 *Git Bash*
 cd ~/Documents/project
 git status
というように「同じフォルダ」でもパスの書き方が違う点に注意です。

:cherry_blossom: たけしゃんへのおすすめ運用（現場型）
あなたのように Django や Superset、Docker を扱う開発環境なら：
&gt; :bulb: *基本は Git Bash*, 特殊操作だけ PowerShell。
理由：
 Python 仮想環境（venv）や Linux コマンド（`ls`, `grep`, `cat`, `export`）がそのまま動く
 Git、Docker、Superset などのドキュメント例はすべて Bash 前提
 PowerShell は「サービス再起動」「ファイル整理」「証明書登録」など Windows 的な用途に限定すれば混乱が少ない
もしよければ、
&gt; 現在 VSCode のターミナルでどちらを使っているか（PowerShell or Git Bash）
&gt;  を教えてくれたら、最適な統一設定（既定ターミナル変更）まで一緒に整えられますよ。
",武松　道生,2025-10-12 22:14:44.421049
Re:git bash で　ls -aを入力してみてください。,武松　道生,2025-10-12 22:17:09.313489
Re:```git push origin main```,Tetsuya Shibao,2025-10-12 22:17:18.960709
Re:`ls -al`,Tetsuya Shibao,2025-10-12 22:18:09.447779
Re:`git status`,Tetsuya Shibao,2025-10-12 22:18:43.043909
Re:`git remote set-url origin {new url}`,Tetsuya Shibao,2025-10-12 22:20:53.099439
Re:```git remote set-url origin {new url}```,Tetsuya Shibao,2025-10-12 22:21:00.973059
"Re:これをもう一度やってみてほしいです
```git add .
git commit -m ""initial commit""
git push HAGAKUREorigin main```",Tetsuya Shibao,2025-10-12 22:30:13.446789
Re:まだできてません,眞子 美幸,2025-10-12 22:30:22.746919
Re:githubの仕組みをもう一度勉強してみますね,眞子 美幸,2025-10-12 22:31:02.966749
"Re:<@U05GA72QWGN>
こうなりました。",寺脇 千登勢,2025-10-12 22:36:37.421209
Re:<@U08JU5SBUN7> GitHub をブラウザで見ていただけます？反映されていませんか？？ :eyes:,Tetsuya Shibao,2025-10-12 22:37:35.423229
Re:git commit -m firstcommit,武松　道生,2025-10-12 22:37:56.010419
"Re:<@U05GA72QWGN>
サインインするのでしょうか？",寺脇 千登勢,2025-10-12 22:38:51.158479
Re:<@U08JU5SBUN7> いえ、さきほどEdgeでGitHub開いていたかと思いますので、F5で読み込み直してみていただけると反映されているかも？ :eyes:,Tetsuya Shibao,2025-10-12 22:40:23.741159
Re:パスワード認証で失敗しました:smiling_face_with_tear:,眞子 美幸,2025-10-12 22:45:55.764529
"Re:<@U08JU5SBUN7>
あっちこっちですみません、以下のhttps://~の部分を再度置き換えて、Git Bash画面で実行いただけますか？
```git remote set-url origin https://～.git```",Tetsuya Shibao,2025-10-12 22:49:51.629389
"Re:<@U08JU5SBUN7> そんでもって
```git push origin main```
を実行した結果を教えてほしいです:pray:",Tetsuya Shibao,2025-10-12 22:51:00.874019
"Re:<@U05GA72QWGN>
これを実行したら、 サインインの画面が出たので、サインインしたところ、",寺脇 千登勢,2025-10-12 22:54:41.543279
Re:<https://hagakurestudy20251012-9pqbzpwribqm6rptkhueapp.streamlit.app/>,古川格(運営),2025-10-12 22:55:16.862629
Re:<@U08JU5SBUN7> むむむ、すらっしゅぅぅぅぅ,Tetsuya Shibao,2025-10-12 22:55:36.353889
"Re:<@U05GA72QWGN>
こうなりました。",寺脇 千登勢,2025-10-12 22:55:39.193539
"Re:アプリ作成はうまくいきました:man-bowing:
私もGITHUBがさっぱり忘れています。。",shinnya tsurumaru,2025-10-12 22:56:10.055339
Re:,武松　道生,2025-10-12 22:56:35.867179
Re:インターネット上に公開するためにGITHUBと連携させるということで合ってますか？,眞子 美幸,2025-10-12 22:56:48.432219
"Re:<@U08JU5SBUN7>
PyCharm経由で設定していると GUIの「Remote Repository URL」欄にも `/` がついているかもしれないみたいです。
確認いただけますか？",Tetsuya Shibao,2025-10-12 22:58:08.147459
"Re:そうだと思います。
というか、githubのリポジトリから、streamlitが取り込む、みたいなイメージでしょうか",武松　道生,2025-10-12 22:58:10.740099
"Re:<@U08JU5SBUN7>
PyCharmの設定で、スラッシュがはいっていなさそうであれば、
以下のコマンドでを入力してください。
```git remote -v```
次のように出力が行われるはずなのでし（正しい形）
```origin  <https://github.com/HAGAKURE-PROGRAMMING-ACADEMY/202510_12_study.git> (fetch)
origin  <https://github.com/HAGAKURE-PROGRAMMING-ACADEMY/202510_12_study.git> (push)```",Tetsuya Shibao,2025-10-12 23:01:04.516119
Re:自分のような初心者はGITHUBにあげたりインターネット上に公開するのもちょっと二の足を踏んでしまいますね:sweat_smile:もっと仕組みをよく理解したいと思います:blush:,眞子 美幸,2025-10-12 23:02:06.888529
"Re:<@U05GA72QWGN>
URLを確認する場所を探しております。。設定のところにあるんですかね。",寺脇 千登勢,2025-10-12 23:03:03.501759
"Re:<@U095FJCNZ39> 完全プライベートなGitリポジトリのBacklogというのがありましてぇ（ただの宣伝ｗ
<https://registerjp.backlog.com/trial/with-new-account/plan/11>",Tetsuya Shibao,2025-10-12 23:04:22.201209
"Re:<@U05GA72QWGN>
コマンド試してみます。ありがとうございます！",寺脇 千登勢,2025-10-12 23:05:12.805629
Re:Githubの使い方を勉強したい場合、良いリファレンスはあったりしますか？,一番ヶ瀬 貴文,2025-10-12 23:05:31.734849
"Re:<@U05GA72QWGN>
ありがとうございます:smile:勉強させていただきます！",眞子 美幸,2025-10-12 23:06:08.653599
Re:<@U05GA72QWGN>,寺脇 千登勢,2025-10-12 23:06:30.027559
Re:<@U095FJCNZ39> Backlogじゃなくてもいいんですよ、Backlogじゃなくても（押すなよ、押すなよのフリ:rolling_on_the_floor_laughing:,Tetsuya Shibao,2025-10-12 23:08:35.179619
"Re:<@U095FJCNZ39>
よくわかります。
なかなか、ハードルが高く感じますよね。
僕もそうでした。

でも、ウェブアプリで最大の課題は「デプロイ」つまり、公開することがめちゃくちゃハードルが高く、そこで躓く人たちが多かったのです。

プログラムから公開へ。
これが、乗り越えなければならない大きな壁で、SAMURAIでも、ここには触れていません。

それを、今までよりも「えー？こんな簡単にデプロイできるの？」っていう、画期的な技術なのです。

大きな壁みたいに見えるでしょうが、超えると別の景色が広がります・・・と思います。",武松　道生,2025-10-12 23:09:04.209829
Re:<https://backlog.com/ja/git-tutorial/intro/09/>,古川格(運営),2025-10-12 23:09:06.678679
Re:僕も、サルGITで勉強しました。,武松　道生,2025-10-12 23:10:05.701909
"Re:<@U08JU5SBUN7> うぉぉぉ、
それで、
`git push origin main` 打っちゃいまそ",Tetsuya Shibao,2025-10-12 23:10:18.429299
Re:お願いしたいです。。。,shinnya tsurumaru,2025-10-12 23:10:29.943979
Re:GitHub勉強します。お時間取らせてしまい、すみません。,寺脇 千登勢,2025-10-12 23:10:30.726799
Re:,寺脇 千登勢,2025-10-12 23:11:58.475659
Re:まずは自分でGITHUBにpushするところまではできるようになってみたいと思います。<@U02TAULQQ0L> ありがとうございました:blob-clap:サムライの講座でもやったはずなんですが、もう忘れてます:sob:,眞子 美幸,2025-10-12 23:12:11.349779
Re:,寺脇 千登勢,2025-10-12 23:12:23.781889
"Re:僕は、SAMURAI3期生です。

gitには、苦労しました。
最初、
add? status? commit? push?

何が何か全くわかりませんでした。

なかなか、寄り付きを拒否する友達みたいですが、めげずに付き合えば、そのうち心を開いてくれるの思います。",武松　道生,2025-10-12 23:13:41.978819
Re:その部分は、私も個人のアカウントで登録しました:man-bowing:,shinnya tsurumaru,2025-10-12 23:13:50.614309
Re:,寺脇 千登勢,2025-10-12 23:14:02.931939
Re:皆さんお優しくて有難いです。:blush:,寺脇 千登勢,2025-10-12 23:15:07.874519
Re:オフですみません。,shinnya tsurumaru,2025-10-12 23:15:16.425379
Re:これで連携取れてるってことでしょうか？,一番ヶ瀬 貴文,2025-10-12 23:16:01.042859
Re:本日はこれで失礼します:+1:ありがとうございした:blob_cheer:,眞子 美幸,2025-10-12 23:16:36.467669
Re:これは、SSSXのアカウントになります。HAGAKUREのアカウントは、別になるのですが、そこから間違えているのでしょうか。,寺脇 千登勢,2025-10-12 23:17:47.421059
"Re:二つアカウント登録できそうですが。。
使い分けできるんですかね。。",shinnya tsurumaru,2025-10-12 23:23:00.076539
"Re:<@U030URKN7D2>
2期生の時のアカウントをHAGAKUREでも使われていますか？",寺脇 千登勢,2025-10-12 23:28:07.613929
Re:本日はお先に失礼します。ありがとうございました:pray:,後藤江見,2025-10-12 23:30:16.568329
Re:,shinnya tsurumaru,2025-10-12 23:32:07.641899
Re:自分でもいろいろ試してみます。本日はありがとうございました。:woman-bowing:,寺脇 千登勢,2025-10-12 23:32:11.961159
Re:会話に追いついた、Jet BrainとのGitHubはこれすね,Tetsuya Shibao,2025-10-12 23:33:08.598229
Re:所属しているOrganizationの申請は個別にいるのかな？（知らない）,Tetsuya Shibao,2025-10-12 23:33:48.423559
Re:お疲れ様でした。ありがとうございました,一番ヶ瀬 貴文,2025-10-12 23:34:21.934079
Re:ふむふむ,Tetsuya Shibao,2025-10-12 23:34:34.648089
Re:追加できた,Tetsuya Shibao,2025-10-12 23:35:00.340099
Re:<@U08JU5SBUN7> 当時と同じアカウントですが、修了後ほぼ動かしていなかったです。,shinnya tsurumaru,2025-10-12 23:38:17.884499
"Re:<@U08JU5SBUN7> PyCharm慣れてなかったので触ってみました。
<https://github.com/midnight480/2025-10-12-streamlit> が自分のリポジトリです。
以下の流れでいう3以降を今度試してみてください:pray:
　
1 ブランチ確認
```> git remote -v```
→　なにもなし
2 リポジトリ追加（自分は、HTTPS認証ではなく、SSH認証なのでURLが若干異なります）
``` git remote add origin git@github.com:midnight480/2025-10-12-streamlit.git```
3 origin同期
``` git fetch origin```
4 origin同期2
``` git pull origin main         
From github.com:midnight480/2025-10-12-streamlit
 * branch            main       -> FETCH_HEAD```
5 確認
``` git remote -v
origin  git@github.com:midnight480/2025-10-12-streamlit.git (fetch)
origin  git@github.com:midnight480/2025-10-12-streamlit.git (push)```",Tetsuya Shibao,2025-10-12 23:43:28.653319
"Re:<@U05GA72QWGN>
本当にありがとうございます。やってみます！！:woman-bowing:",寺脇 千登勢,2025-10-12 23:47:32.778479
"Re:遅くにすみません。
できました！！
このサインインの画面で、sign in with your browserを押すと、Chromeが立ち上がるため、下の『Sign in with a code』で進み、HAGAKURE用のアカウントを入れて出てきたコードを入力したら、",寺脇 千登勢,2025-10-13 00:25:41.269669
"Re:この画面で２つのアカウントが出るので、該当アカウントを選択し進み、
git push origin main　で無事に成功しました。",寺脇 千登勢,2025-10-13 00:27:36.101049
Re:ありがとうございました:woman-bowing:,寺脇 千登勢,2025-10-13 00:28:13.300609
"Re:pycharmですが、添付画像にある
リポジトリURLのURLとディレクトリのパスを通せばいいのでしょうか？
URLはどこに記載がありますか？",一番ヶ瀬 貴文,2025-10-13 02:05:25.168939
Re:<@U0897HMUDN2> おはようございます！私の場合は①GitHubを選択したら、候補が出てくるので、その中から自分のGitHubで作成したプロジェクトを選択しましたよ:+1:,眞子 美幸,2025-10-13 08:05:03.106649
"Re:<@U095FJCNZ39>
アドバイスありがとうございます。
すみません。添付されてた画像を参考にやってみたのですがリポジトリのクローン画面でGitHubを選択しても何も表示されません。
良くわからないまま新規プロジェクト作成してリポジトリのクローンを選択した状態ですが、そもそも手順を間違えてますでしょうか？
昨日のzoomではenvを何かやられてたような気がしますがメモを残してなかったので手順がわかりません",一番ヶ瀬 貴文,2025-10-13 20:05:39.667279
"Re:<@U0897HMUDN2>
一つ確認ですが、GITHUBで自分の新規のプロジェクトは作成されましたか？GITHUBで新規プロジェクトを作成してから（GITHUBのプロジェクトはリモートリポジトリ【サーバー】にあります）、pycharmでクローンを作成します（クローンしたプロジェクトはローカルリポジトリ上にあります）これでローカルとリモートでファイルをプッシュ(アップロード)したり、クローン（ダウンロード）したりできるようになります:smile:といっても、全部昨日教えてもらった<@U05GA72QWGN> さんの資料や自分がサムライの講座で受けてた講座資料の受け売りです:sweat_smile:",眞子 美幸,2025-10-13 20:56:17.989459
"Re:昨日は先に出てしまいすいませんでした:pray:
 <@U05GA72QWGN> さんありがとうございました:sparkles:
 <@U095FJCNZ39> さん<@U08JU5SBUN7> さんプッシュまで行けたようでよかったです:blob_cheer:
 <@U0897HMUDN2> さん、
<https://pleiades.io/help/pycharm/set-up-a-git-repository.html#put-existing-project-under-Git>
こちらが参考になるかと思います。
やりたいことは、
1. github上でリポジトリを作成
2. ローカル環境（Pycharm上）に作成したリポジトリをクローン
3. venv仮想環境の作成
4. ローカルでの変更をリモートリポジトリ（github側）に送信（push）できるようにする
ですので、一つずつクリアして行けたらいいかなと思います:blob_smile_happy_eyes:
github連携については本当にややこしいので、次回勉強会で足並みを揃えて（どこまでいけるか分かりませんが）再度streamlitに入っていきたいと思います:blob_smile_happy_eyes:
懲りずにお付き合いをいただければと思います:blob_smile_happy_eyes:

いろんなエラー、ミスのケースがあると思いますので、「こうなった時自分はこうしたら解消したよ」的なことが言語化できる気づきがあれば、皆で共有していけるといいなと思います:pray:",古川格(運営),2025-10-13 22:46:08.758479
"Re:<https://sss-ixw8135.slack.com/archives/C02V07Y5G86/p1760356577989459?thread_ts=1760261300.921419&cid=C02V07Y5G86>
<@U095FJCNZ39>
返信ありがとうございます。クローン作成とpushまでいけました。お手数をお掛けいたしました。ありがとうございます。",一番ヶ瀬 貴文,2025-10-13 23:57:43.853299
"Re:<https://sss-ixw8135.slack.com/archives/C02V07Y5G86/p1760363168758479?thread_ts=1760261300.921419&cid=C02V07Y5G86>
<@U02TAULQQ0L>
アドバイスありがとうございます。pushまでいけたのですが
記述されてるやりたいこと 3.venv 仮想環境の作成 は何もしていません
これはどうやって設定をすればいいでしょうか。",一番ヶ瀬 貴文,2025-10-14 00:03:41.004699
"Re:<@U0897HMUDN2>
おはようございます:blush:クローンとpushまで出来たとのことなので、自分が勉強会の時に、教えてもらった仮想環境の作成について載せておきます:+1:
①設定→②設定→③pythonインタプリタ→④インタプリタの追加→⑤OK　で出来たかと思います。参考まで",眞子 美幸,2025-10-14 07:49:29.203969
"Re:<@U095FJCNZ39>
アドバイスありがとうございます。いただきました参照画像を元にpythonインタプリタを設定することができました。助けていただいてありがとうございます。",一番ヶ瀬 貴文,2025-10-14 16:03:55.286299
"本日の自習室利用予定
10月12日21時30分よりPython勉強会

",U04AT4PJ8FR,2025-10-12 13:43:22.514579
"<!channel>
リマインド:blob_smile_happy_eyes:本日です:+1:
<https://sss-ixw8135.slack.com/archives/C02V07Y5G86/p1759809600638999|https://sss-ixw8135.slack.com/archives/C02V07Y5G86/p1759809600638999>
資料は<https://20251012study.pages.dev/|こちら>
streamlit、私が業務等で一番活用しているライブラリの一つです:blob-wave:
本当に簡単にアプリケーションができること、ローカルネットワークでの共有が可能なこと、バイブコーディングの相性がいいこと、など。「Pythonを実際の業務に活用してみたい」という希望を叶えるのに最適だと考えます:blob_smile_happy_eyes:
今回の勉強会でまず、「手元でアプリケーションを作る」というイメージを作り、次回実際に自分が業務や家庭などで活用できるアプリケーションをAIも活用しながら開発する。という流れが出来たらいいなと考えています:fire:
是非是非お気軽にご参加ください:+1:",古川格(運営),2025-10-12 10:00:00.507879
"<!channel>
*Python勉強会やろうぜ（オンライン）*
*StreamlitでWebアプリを作ってみる*:star-struck:
*10月12日（日）21時30分～（オンライン）*
Pythonだけで簡単にWebアプリが作れる「Streamlit」を使って、お買い物リストアプリを作ります:+1:
今回作るもの：
 :shopping_trolley: お買い物リストアプリ（商品追加・購入済みチェック機能付き）
 :bar_chart: データはCSVで保存して、実用的に使えるアプリに！
 :globe_with_meridians: 作ったアプリをWeb公開する方法も紹介
内容：
 Streamlitの基本操作（テキスト・ボタン・入力フォーム）
 CSVでのデータ保存・読み込み
 インタラクティブなUI作成
 お買い物リストアプリの実装
 アプリのデプロイ方法（Streamlit Community Cloud）
参加スタイル：
 見るだけ/聞くだけ歓迎:blob-wave:
 一緒に手を動かす方は、以下の準備があるとスムーズ:blob_cheer:
 Python実行環境（Python 3.7以上）
 エディタ（VS Code / Cursor など、お好みで）
 当日 pip install streamlit pandas でインストールします
対象：
 Python初学者～中級者。Pythonの基本文法がわかればOK:ok_hand:
 「自分でWebアプリ作ってみたい！」という方大歓迎
第2回予告（10月26日）：
次回は各自が作りたいアプリを相談しながら作っていきます！
（読書記録、家計簿、日記、映画レビューなど、何でもOK！）
HTMLやCSS、JavaScriptの知識なしで、Pythonだけでサクッとアプリが作れます:sparkles:
作ったアプリをすぐにWeb公開できるのも魅力です:rocket:
参加希望の方は、:参加: のリアクションをお願いします:blob-wave:",古川格(運営),2025-10-07 13:00:00.638999
"*10月のHAGAKURE学習室*
佐賀県産業スマート化センター様のコミュニティ補助にて提供いただいているZOOMアカウントにて、自習室を作成しております:star-struck:以下の設定、ルールにて運用を開始しますので、個人の学習に、仕事に、他の参加者とのミーティングに、お気軽にご利用ください:blob-wave:
<https://us06web.zoom.us/j/87154219625?pwd=LXjMkIZgOA8rSUBNOhBj0Bm6KwDj9z.1>

 *終日解放*
 *コミュニティ参加者のどなたでも利用が可能（リンクをこのSlack外へ漏らすことが決して無いようにご注意ください[ログは管理しております]）*
 *画面オンオフ、マイクオンオフは自由。参加者同士の会話も自由としますが、他の参加者の迷惑とならないようマナーを守って利用ください。*
 *画面共有はどなたでも利用可能な設定としています。*
 *参加者同士のテキストでのやり取りは、このスレッドのコメント欄にて行ってください。*
*その他要望、ご意見や何かトラブル等あった場合には*<@U02TAULQQ0L> *までご連絡をお願いします*:+1:",古川格(運営),2025-10-01 12:00:00.320129
,古川格(運営),2025-09-24 08:53:00.077989
Re:文字を読むのが苦手なので、これはインプットしやすいです！,shinnya tsurumaru,2025-10-09 08:30:32.535189
