text,user,ts
"現時点でモジュールがとっても期待外れなのでいっそのこと昔欲しかったこれ( <https://matias.store/products/half-keyboard> )を真似て左手用キーボードに設定した…
(基本adobeのツール類使う時用で)右手はマウス持ったままで左手でショートカットと短いセンテンスの文章は入力すると割り切った(今までも似たようなことはしていた…)

nだのmだの+だの-だの[だの]だの…をショートカットで押す際にマウスから手を離すのがストレスな業種なのとそのせいで癖で左親指cmdにおいて可能な限り左手で打つ(押す)癖が抜けない…
ワンボタンにショートカットを仕込めば良いのでは？とも思ったがこの設定は「短いセンテンスの文章」を打つことを加味した(logiのG13でできなかった)のでいっそのことと思いやった…
あと、どのキーに何仕込んだ？が瞬時にわからないのは困るなァ(自分で仕込んでるに)もあったので…

咄嗟のタイミングだと脳が混乱するのと(要望には何度か挙げてるが)レイヤーごとにバックライトの色設定できるようにして欲しいのと現時点の設定だとF6～F12への導線が良くない…
カイゼン…カイゼン…",吉井春樹,2025-10-09 12:43:19.747019
"Re:自作キーボードだとこんなのもあります。
<https://tarohayashi.booth.pm/items/5771739>",栗原康範,2025-10-09 16:45:47.449999
"Re:結局片手用キーボードが欲しいなら自作で良いジャン…という結末に向かっていますが、一応(まだ出来てないから発送されてこない)モジュール、出資した理由でもあるモジュールの3Dマウスがありまして…そいつがまんまSpaceMouse( <https://3dconnexion.com/jp/spacemouse/> )じゃん！いいじゃん！だったのですが…
出資時に「これあまりにもSpaceMouseじゃない？大丈夫？」という質問に「大丈夫です！」と返答しやがったくせに
~パクリすぎと~警告が来たので変更します…と今更言い出したという美しい流れがありまして…11月に発送するとほざいてますのでそれが来てから色々考えます…",吉井春樹,2025-10-09 19:40:29.759079
Launchpadが死んだのでLaunchpad割り振ってた部分を間違えてぽちぽち押す癖が消えない代わりになんか仕込もうと思ったらlogiさんがまた知らない機能追加してる…,吉井春樹,2025-09-24 10:30:03.482529
Re:あ、これオラがLaunchpadに求めてたものの代替機能に使えそう…ありがとうlogi様…,吉井春樹,2025-09-24 10:36:32.717079
MacOS26に上げてみたら廃止したLaunchpadの代わりのアプリ検索のUIがひどい…久々にすごくAppleだなぁ…となる…,吉井春樹,2025-09-23 21:10:51.430729
"Re:MacOS 26だと、 iceが微妙に動かないので悲しみ
起動したら最小化してくれるけどクリックしたら展開される...
<https://icemenubar.app/>",Tetsuya Shibao,2025-09-23 22:02:35.242179
Re:iOS 26だと、マイナンバーカードのPINリセットアプリが非対応で悲しみ（いや、悲しくないぞ）,Tetsuya Shibao,2025-09-23 22:03:22.590809
Re:ボカァHidden bar使ってたんですが「もう4年も更新されてないもんよりiceにしとけぇ」と海外兄貴達が言っていたので切り替えるかぁと思っていたら…,吉井春樹,2025-09-24 00:43:17.076809
Re:MacOS26には冷たかったです（iceだけに）,Tetsuya Shibao,2025-09-24 00:51:15.645539
"セカンドPC（DELLInspiron）を買い替えようと思っています。
軽い＆14インチ以下でLGどうかなと思ってるのですが、使用されている方いらっしゃったら教えてください。",山下　晃(ﾔﾏｼﾀ　ﾋｶﾙ),2025-09-17 22:04:32.775399
"使い方、こういう感じで合ってます？eval_checkはなんか伝わってない感です:sweat_drops:
UIがレトロで素敵:blob_smile_happy_eyes:
<https://chatgpt.com/share/68a88cd7-c528-8008-8c12-eb9ed1f6a6b6>",古川格(運営),2025-08-23 00:33:28.680999
Re:寝る前に作った適当状態なので、どんどん改善お願いします！（github上で）,山下　晃(ﾔﾏｼﾀ　ﾋｶﾙ),2025-08-23 07:11:19.081209
"エディタのプロトタイプまで作りました。
<https://github.com/hikaruy0804/VibePrompt_Studio|https://github.com/hikaruy0804/VibePrompt_Studio>",山下　晃(ﾔﾏｼﾀ　ﾋｶﾙ),2025-08-23 00:01:43.956569
フレームワークをWebツールとして簡単に作れて良いです。,山下　晃(ﾔﾏｼﾀ　ﾋｶﾙ),2025-08-13 23:19:27.182459
CLILLMに与えるテキストを書くための良い感じのエディタ画面がほしいです。。,山下　晃(ﾔﾏｼﾀ　ﾋｶﾙ),2025-08-12 23:04:39.913029
Re:フレームワークをWebツールとして簡単に作れて良いです。,山下　晃(ﾔﾏｼﾀ　ﾋｶﾙ),2025-08-13 23:19:27.182459
"Re:エディタのプロトタイプまで作りました。
<https://github.com/hikaruy0804/VibePrompt_Studio|https://github.com/hikaruy0804/VibePrompt_Studio>",山下　晃(ﾔﾏｼﾀ　ﾋｶﾙ),2025-08-23 00:01:43.956569
こいつ人の話聞かないメーン…,吉井春樹,2025-08-07 16:31:07.966859
Re:圧がすごいですよね。1聞いたら15くらい答えるみたいな :melting_face: ,古川格(運営),2025-08-07 20:24:01.886879
"Re:とりあえず関連しそうなことばーっということでこちらを無理矢理納得させようとしている感が

<https://shonenjumpplus.com/episode/14079602755080368324>",吉井春樹,2025-08-07 22:00:09.988329
